"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
"C1","1/2","L3","-11.074400","5.588000","180.000000","0.5","100","5.588000","None","True","c_0402 27pF"
"C2","1/2","L3","-17.627600","4.572000","270.000000","0.5","100","4.572000","None","True","c_0402 27pF"
"C3","1/2","L2","-14.020800","1.524000","0.000000","0.5","100","1.524000","None","True","c_0402 0.1uF"
"C4","1/2","L2","-14.020800","0.000000","180.000000","0.5","100","0.000000","None","True","c_0402 0.1uF"
"C5","1/2","L2","-11.074400","4.368800","0.000000","0.5","100","4.368800","None","True","c_0402 0.1uF"
"C6","1/2","L2","-6.477000","-3.556000","180.000000","0.5","100","-3.556000","None","True","c_0402 0.1uF"
"C7","1/2","L2","-4.800600","2.641600","270.000000","0.5","100","2.641600","None","True","c_0402 0.1uF"
"C8","1/2","L4","-4.572000","-5.588000","180.000000","0.5","100","-5.588000","None","True","c_0603 4.7uF"
"C9","1/2","L1","-3.810000","-1.168400","180.000000","0.5","100","-1.168400","None","True","c_0402 0.01uF"
"C10","1/2","L4","-1.778000","-5.588000","0.000000","0.5","100","-5.588000","None","True","c_0603 4.7uF"
"C11","1/2","L2","-20.320000","-5.130800","270.000000","0.5","100","-5.130800","None","True","c_0402 0.1uF"
"D1","1/2","L6","-7.366000","-5.689600","0.000000","0.5","100","-5.689600","None","True","LED0603 LED"
"R1","1/2","L5","-9.931400","-5.740400","0.000000","0.5","100","-5.740400","None","True","r_0402 510"
"U1","1/2","I1","-8.788400","0.381000","0.000000","0.5","100","0.381000","None","True","QFN36 STM32F103TB"
"U2","1/2","L15","-3.149600","-3.175000","90.000000","0.5","100","-3.175000","None","True","SOT23-5 LP2985-33DBVR"
"U3","1/2","L16","-2.387600","0.812800","270.000000","0.5","100","0.812800","None","True","SOT363 NUF2221W1"
"U4","1/2","L20","-16.383000","-3.810000","0.000000","0.5","100","-3.810000","None","True","WSON8 SST25VF032B"
"X1","1/2","L19","-15.113000","4.572000","180.000000","0.5","100","4.572000","None","True","ABM8G 12MHz"
